date,fiscal_year,customer_code,customer,market,product_code,product,variant,sold_quantity,gross_price,total_gross_price,pre_invoice_deduction_pct,net_invoice_sale
2017-09-01,2018,70002017,"Atliq Exclusive",India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,15.40,785.16,0.08,722.35
2017-09-01,2018,70002018,"Atliq e Store",India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,77,15.40,1185.43,0.30,829.80
2017-09-01,2018,70003181,"Atliq Exclusive",Indonesia,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,17,15.40,261.72,0.05,248.63
2017-09-01,2018,70003182,"Atliq e Store",Indonesia,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,6,15.40,92.37,0.24,70.20
2017-09-01,2018,70006157,"Atliq Exclusive",Philiphines,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,15.40,76.98,0.11,68.51
2017-09-01,2018,70006158,"Atliq e Store",Philiphines,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,7,15.40,107.77,0.19,87.29
2017-09-01,2018,70007198,"Atliq Exclusive","South Korea",A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,29,15.40,446.46,0.07,415.21
2017-09-01,2018,70007199,"Atliq e Store","South Korea",A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,34,15.40,523.44,0.26,387.35
2017-09-01,2018,70008169,"Atliq Exclusive",Australia,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,22,15.40,338.69,0.10,304.82
2017-09-01,2018,70008170,"Atliq e Store",Australia,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,15.40,76.98,0.19,62.35
2017-09-01,2018,70011193,"Atliq Exclusive",France,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.40,153.95,0.05,146.25
2017-09-01,2018,70011194,"Atliq e Store",France,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.40,61.58,0.20,49.26
2017-09-01,2018,70012042,"Atliq Exclusive",Germany,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.40,0.00,0.10,0.00
2017-09-01,2018,70012043,"Atliq e Store",Germany,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,0,15.40,0.00,0.26,0.00
2017-09-01,2018,70013125,"Atliq Exclusive",Italy,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.40,15.40,0.06,14.48
2017-09-01,2018,70013126,"Atliq e Store",Italy,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.40,15.40,0.25,11.55
2017-09-01,2018,70016178,"Atliq e Store",Poland,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.40,15.40,0.19,12.47
2017-09-01,2018,70022085,"Atliq e Store",USA,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,20,15.40,307.90,0.20,246.32
2017-09-01,2018,70023031,"Atliq Exclusive",Canada,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.40,61.58,0.10,55.42
2017-09-01,2018,80001019,Neptune,China,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.40,153.95,0.28,110.84
2017-09-01,2018,80006154,Synthetic,Philiphines,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.40,153.95,0.27,112.38
2017-09-01,2018,80006155,Novus,Philiphines,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,28,15.40,431.07,0.28,310.37
2017-09-01,2018,80007195,Sage,"South Korea",A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,80,15.40,1231.62,0.30,862.13
2017-09-01,2018,90001021,Taobao,China,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,1,15.40,15.40,0.28,11.09
2017-09-01,2018,90002001,"Reliance Digital",India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,42,15.40,646.60,0.25,484.95
2017-09-01,2018,90002002,Croma,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,40,15.40,615.81,0.20,492.65
2017-09-01,2018,90002003,Ezone,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,54,15.40,831.34,0.28,598.56
2017-09-01,2018,90002005,Lotus,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,77,15.40,1185.43,0.21,936.49
