date,fiscal_year,customer_code,customer,market,product_code,product,variant,sold_quantity,gross_price,total_gross_price,pre_invoice_deduction_pct,pre_invoice_deduction_amt,net_invoice_sale_amt
2017-09-01,2018,70002017,"Atliq Exclusive",India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,15.40,785.16,0.08,62.81,722.35
2017-09-01,2018,70002018,"Atliq e Store",India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,77,15.40,1185.43,0.30,355.63,829.80
2017-09-01,2018,70003181,"Atliq Exclusive",Indonesia,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,17,15.40,261.72,0.05,13.09,248.63
2017-09-01,2018,70003182,"Atliq e Store",Indonesia,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,6,15.40,92.37,0.24,22.17,70.20
2017-09-01,2018,70006157,"Atliq Exclusive",Philiphines,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,15.40,76.98,0.11,8.47,68.51
2017-09-01,2018,70006158,"Atliq e Store",Philiphines,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,7,15.40,107.77,0.19,20.48,87.29
2017-09-01,2018,70007198,"Atliq Exclusive","South Korea",A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,29,15.40,446.46,0.07,31.25,415.21
2017-09-01,2018,70007199,"Atliq e Store","South Korea",A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,34,15.40,523.44,0.26,136.09,387.35
2017-09-01,2018,70008169,"Atliq Exclusive",Australia,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,22,15.40,338.69,0.10,33.87,304.82
2017-09-01,2018,70008170,"Atliq e Store",Australia,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,5,15.40,76.98,0.19,14.63,62.35
2017-09-01,2018,70011193,"Atliq Exclusive",France,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,10,15.40,153.95,0.05,7.70,146.25
2017-09-01,2018,70011194,"Atliq e Store",France,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,4,15.40,61.58,0.20,12.32,49.26
